family-index,family-name
2,selaginellaceae
3,isoetaceae
4,equisetaceae
5,ophioglossaceae
6,osmundaceae
7,adiantaceae
8,pteridaceae
9,marsileaceae
10,hymenophyllaceae
11,polypodiaceae
12,cyatheaceae
13,dicksoniaceae
14,dennstaedtiaceae
15,thelypteridaceae
16,aspleniaceae
17,athyriaceae
17,woodsiaceae
18,davalliaceae
19,dryopteridaceae
20,blechnaceae
21,azollaceae
21.1,ginkgoaceae
22,pinaceae
23,taxodiaceae
24,cupressaceae
25,araucariaceae
26,taxaceae
26.1,cephalotaxaceae
27,magnoliaceae
28,lauraceae
28.1,saururaceae
29,aristolochiaceae
30,nymphaeaceae
30.1,cabombaceae
31,ceratophyllaceae
32,ranunculaceae
33,berberidaceae
34,papaveraceae
35,fumariaceae
36,platanaceae
37,ulmaceae
38,cannabaceae
39,moraceae
40,urticaceae
41,juglandaceae
42,myricaceae
43,fagaceae
44,betulaceae
45,corylaceae
46,phytolaccaceae
46.1,nyctaginaceae
47,aizoaceae
48,chenopodiaceae
49,amaranthaceae
50,portulacaceae
51,basellaceae
52,illecebraceae
52,caryophyllaceae
53,polygonaceae
54,plumbaginaceae
55,paeoniaceae
56,elatinaceae
57,hypericaceae
57,guttiferae
57,hypericaceae
58,tiliaceae
59,malvaceae
60,sarraceniaceae
61,droseraceae
62,cistaceae
63,violaceae
64,tamaricaceae
65,frankeniaceae
66,cucurbitaceae
67,salicaceae
68,capparaceae
69,cruciferae
69,brassicaceae
70,resedaceae
71,clethraceae
72,empetraceae
73,ericaceae
74,pyrolaceae
75,monotropaceae
76,diapensiaceae
77,myrsinaceae
78,primulaceae
79,pittosporaceae
80,hydrangeaceae
81,escalloniaceae
82,grossulariaceae
83,crassulaceae
84,saxifragaceae
85,rosaceae
86,mimosaceae
87,caesalpiniaceae
88,fabaceae
89,elaeagnaceae
90,haloragaceae
91,gunneraceae
92,lythraceae
93,thymelaeaceae
94,myrtaceae
95,onagraceae
96,cornaceae
96.1,garryaceae
97,santalaceae
98,viscaceae
99,celastraceae
100,aquifoliaceae
101,buxaceae
102,euphorbiaceae
103,rhamnaceae
104,vitaceae
105,linaceae
106,polygalaceae  
107,staphyleaceae
108,sapindaceae
109,hippocastanaceae
110,aceraceae
111,anacardiaceae
112,simaroubaceae
113,rutaceae
114,oxalidaceae
115,geraniaceae
116,limnanthaceae
117,tropaeolaceae
118,balsaminaceae
119,araliaceae
120,apiaceae 
121,gentianaceae
122,apocynaceae
122.1,nolanaceae
123,solanaceae
124,convolvulaceae
125,cuscutaceae
126,menyanthaceae
127,polemoniaceae
128,hydrophyllaceae
129,boraginaceae
130,verbenaceae
131,labiatae
131,lamiaceae
132,hippuridaceae
133,callitrichaceae
134,plantaginaceae
135,buddlejaceae
136,oleaceae
137,scrophulariaceae
138,orobanchaceae
139,gesneriaceae
140,acanthaceae
140.1,bignoniaceae
141,lentibulariaceae
142,campanulaceae
143,rubiaceae
144,caprifoliaceae
145,adoxzceae
146,valerianaceae
147,dispaceae
148,compositae
148,asteraceae
149,butomaceae
150,alismataceae
151,hydrocharitaceae
152,aponogetonaceae
153,scheuchzeriaceae
154,juncaginaceae
155,potamogetonaceae
156,ruppiaceae
157,najadaceae
158,zanichelliaceae
159,zosteraceae
160,palmae
160,arecaceae
161,araceae
162,lemnaceae
163,commelinaceae
164,eriocaulaceae
165,juncaceae
166,cyperaceae
167,gramineae
167,poaceae
168,sparganiaceae
169,typhaceae
170,bromeliaceae
171,pontederiaceae
172,trilliaceae
172,amaryllidaceae
172,alliaceae
172,iridaceae
173,liliaceae
174,agavaceae
175,dioscoreaceae
176,orchidacea
